"party_canvasser_visited","canvasser_congress","canvasser_bjp","canvasser_aap","migrated_in_last_0_9_years"
0,0,0,0,0
1,0,1,1,0
0,0,0,0,0
1,0,0,1,0
1,1,1,0,0
0,0,0,0,0
0,0,0,0,0
1,0,1,0,0
1,0,1,1,0
1,0,1,0,0
0,0,0,0,0
0,0,0,0,0
1,0,1,1,0
0,0,0,0,0
NA,0,0,0,0
1,0,1,1,0
NA,0,0,0,0
0,0,0,0,0
1,1,0,1,0
1,0,1,1,0
1,0,1,1,0
1,0,1,1,0
1,1,0,1,0
1,0,1,1,0
NA,0,0,0,1
1,1,0,1,0
1,0,0,0,0
1,0,1,1,0
1,0,1,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
NA,0,0,0,0
1,0,1,1,0
1,0,1,1,0
0,0,0,0,0
0,0,0,0,0
1,0,1,1,0
1,0,1,1,0
1,0,1,1,0
1,1,0,1,0
1,0,1,1,0
0,0,0,0,0
1,0,1,1,0
0,0,0,0,0
0,0,0,0,0
1,0,1,1,0
1,0,1,1,0
1,0,1,1,0
1,0,1,1,0
1,0,1,1,0
1,0,1,1,0
0,0,0,0,0
0,0,0,0,0
1,0,1,1,0
1,1,1,0,0
1,1,0,1,0
1,0,1,1,0
1,0,1,1,0
0,0,0,0,0
NA,0,0,0,0
0,0,0,0,0
1,0,1,1,0
0,0,0,0,0
1,0,1,1,0
1,0,1,1,0
1,0,1,1,0
1,0,1,0,0
0,0,0,0,0
1,0,1,1,0
1,0,1,0,0
1,0,1,1,0
1,0,1,1,0
1,0,1,0,0
1,0,1,1,0
1,0,1,1,0
1,0,1,1,0
1,0,1,1,0
1,0,1,1,0
1,0,1,0,0
1,0,0,1,0
1,0,0,1,0
1,0,1,1,0
1,0,1,0,0
1,0,1,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,1,1,0
1,0,0,1,0
1,0,0,1,0
1,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,1,1
1,1,0,1,1
1,1,0,1,0
1,1,0,1,0
0,0,0,0,0
1,1,0,0,0
0,0,0,0,0
1,0,1,1,0
1,1,1,0,0
0,0,0,0,0
1,1,1,0,0
0,0,0,0,0
1,1,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0,0
1,1,1,0,0
1,1,1,0,0
0,0,0,0,0
1,1,1,0,0
1,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
1,0,0,1,0
1,0,1,0,1
0,0,0,0,0
1,0,1,1,0
1,0,1,1,0
0,0,0,0,0
1,0,1,0,0
1,0,1,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,1,0
1,0,0,1,0
1,0,1,0,0
1,0,0,1,0
0,0,0,0,0
1,0,1,0,0
1,0,1,0,0
1,0,1,1,0
1,0,1,1,0
1,0,1,1,0
1,0,1,1,0
1,0,1,1,0
1,0,1,1,0
1,0,1,1,0
1,0,1,1,0
1,0,1,1,0
1,0,0,0,0
1,0,1,1,0
1,0,1,1,0
NA,0,0,0,0
1,0,1,1,0
1,0,1,1,0
1,0,1,1,0
1,0,1,1,0
0,0,0,0,0
0,0,0,0,0
1,0,0,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,0,0,0,0
1,0,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
NA,0,0,0,0
NA,0,0,0,0
NA,0,0,0,0
NA,0,0,0,0
1,0,0,1,0
0,0,0,0,0
1,0,1,1,0
1,0,1,1,0
1,0,1,1,0
NA,0,0,0,0
1,1,1,0,0
1,0,1,1,0
0,0,0,0,0
1,1,0,1,0
1,1,0,0,0
0,0,0,0,0
1,0,1,0,0
0,0,0,0,0
1,0,1,1,0
1,1,0,1,0
1,0,1,0,0
1,0,1,1,0
1,0,0,1,0
1,0,1,1,0
1,1,0,1,0
1,1,1,0,0
0,0,0,0,1
0,0,0,0,0
0,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,1,0,0
0,0,0,0,1
0,0,0,0,0
1,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,1,1,0
1,0,1,1,0
1,0,1,1,0
0,0,0,0,1
0,0,0,0,0
1,0,1,1,1
1,0,1,1,0
1,1,0,1,0
1,0,1,1,0
1,0,1,1,0
1,1,0,1,0
1,0,1,1,0
1,0,1,1,1
1,0,1,1,0
1,1,0,1,0
1,0,1,1,0
1,0,1,1,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,1,0,0
1,0,1,1,1
0,0,0,0,0
1,0,1,0,0
1,0,1,0,1
1,0,1,1,0
0,0,0,0,0
1,0,1,0,0
0,0,0,0,0
0,0,0,0,0
1,0,1,1,0
0,0,0,0,0
1,1,0,1,0
1,1,0,1,0
1,1,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,1,1,0
1,0,1,1,0
NA,0,0,0,0
1,0,0,0,0
1,1,0,1,0
0,0,0,0,0
1,0,1,0,0
1,0,0,1,0
1,0,1,0,0
NA,0,0,0,0
1,0,0,1,0
1,1,0,1,0
0,0,0,0,0
1,0,1,1,0
1,1,1,0,0
1,0,1,1,0
1,0,1,1,0
0,0,0,0,0
0,0,0,0,0
1,0,1,1,0
1,0,1,1,0
