"time_to_decision","time_to_success","time_to_reject","time_to_appoint"
24,24,NA,1
30,NA,30,1
32,NA,32,2
32,NA,32,2
31,31,NA,31
35,35,NA,32
35,35,NA,32
35,NA,35,32
35,35,NA,32
36,NA,36,32
35,35,NA,32
35,35,NA,32
35,NA,35,32
26,26,NA,2
33,33,NA,33
39,39,NA,7
37,37,NA,7
29,29,NA,8
23,NA,23,8
26,26,NA,8
38,38,NA,8
29,29,NA,8
29,29,NA,8
40,NA,40,8
80,80,NA,8
40,40,NA,8
40,40,NA,8
40,NA,40,8
40,40,NA,8
28,NA,28,9
43,NA,43,41
17,17,NA,12
17,17,NA,12
18,18,NA,12
47,47,NA,45
47,47,NA,45
7,7,NA,2
29,NA,29,2
31,31,NA,3
32,NA,32,4
7,7,NA,7
7,7,NA,7
9,NA,9,5
34,34,NA,5
34,NA,34,5
34,34,NA,5
34,34,NA,5
34,NA,34,5
34,34,NA,5
34,34,NA,5
34,NA,34,5
15,15,NA,7
34,NA,34,5
28,NA,28,6
35,NA,35,6
35,35,NA,6
30,NA,30,8
18,18,NA,4
18,18,NA,4
18,18,NA,4
18,18,NA,4
38,38,NA,37
38,NA,38,10
38,38,NA,10
48,48,NA,18
34,NA,34,34
34,NA,34,34
38,NA,38,6
38,NA,38,6
38,NA,38,6
38,NA,38,6
38,NA,38,6
38,NA,38,6
38,NA,38,6
38,NA,38,6
38,NA,38,6
38,NA,38,6
38,NA,38,6
36,36,NA,36
10,10,NA,10
25,25,NA,11
40,NA,40,13
12,NA,12,12
39,39,NA,13
7,7,NA,7
32,32,NA,7
32,32,NA,7
32,NA,32,7
32,32,NA,7
32,32,NA,7
32,32,NA,7
45,NA,45,37
45,45,NA,37
49,49,NA,11
50,50,NA,11
20,NA,20,14
48,48,NA,42
43,43,NA,43
43,43,NA,43
44,44,NA,44
45,45,NA,45
24,NA,24,15
24,NA,24,16
19,NA,19,16
27,27,NA,16
32,32,NA,9
49,NA,49,13
49,49,NA,13
49,49,NA,13
49,49,NA,13
34,34,NA,15
34,34,NA,15
34,34,NA,15
34,34,NA,15
36,NA,36,17
36,36,NA,17
36,36,NA,17
26,26,NA,26
33,NA,33,11
33,33,NA,12
36,NA,36,15
37,37,NA,16
25,NA,25,18
25,NA,25,1
25,NA,25,1
12,12,NA,10
47,NA,47,0
32,NA,32,0
32,32,NA,0
32,32,NA,0
15,NA,15,0
7,NA,7,0
14,NA,14,0
7,NA,7,0
24,24,NA,0
15,15,NA,0
11,NA,11,0
11,NA,11,0
8,8,NA,0
7,7,NA,0
7,NA,7,0
10,10,NA,0
11,NA,11,0
7,NA,7,0
12,NA,12,0
25,NA,25,0
30,30,NA,0
28,NA,28,0
27,27,NA,0
11,NA,11,0
21,NA,21,0
27,NA,27,0
27,NA,27,0
30,30,NA,0
17,17,NA,0
44,44,NA,0
32,32,NA,0
11,11,NA,0
11,11,NA,0
7,7,NA,0
33,33,NA,0
28,NA,28,0
11,11,NA,0
15,NA,15,0
37,37,NA,0
37,37,NA,0
20,20,NA,0
11,11,NA,0
26,NA,26,0
25,NA,25,0
11,11,NA,0
26,26,NA,0
24,NA,24,0
30,30,NA,0
8,8,NA,0
